OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length
4560,WILSON AVE S,0.09234091,,,"In Street, Minor Separation",0,NA,LOCAL,13616,863,,,"(47.551120893000075, -122.26586429899999)",487.559993
4561,NE 65TH ST,0.02656679,,,"In Street, Minor Separation",0,NA,LOCAL,17305,872,,,"(47.675783050000064, -122.27791233799996)",140.2726638
4562,14TH AVE NW,0.05044049,,,"In Street, Minor Separation",0,NA,LOCAL,1893,128,,,"(47.667159543000025, -122.37359011699999)",266.3257893
4563,S ALBRO PL,0.13856502,,,"In Street, Major Separation",0,NA,CITYWIDE,19330,711,,,"(47.54699110900003, -122.31491442099997)",731.6224261
4564,N 130TH ST,0.12570899,,,"In Street, Major Separation",0,NA,CITYWIDE,15162,583,,,"(47.72321154700006, -122.34497688099998)",663.735862
4565,NE 55TH ST,0.04924668,,,"In Street, Minor Separation",0,NA,LOCAL,17044,634,,,"(47.66852139000008, -122.29725647299995)",260.0224731
4566,7TH AVE,0.08058622,,,"In Street, Major Separation",0,NA,CITYWIDE,8157,335,,,"(47.610614154000075, -122.33244672399996)",425.4952582
4567,UNION ST,0.06096193,,,"In Street, Major Separation",0,NA,CITYWIDE,13182,401,,,"(47.60922110800004, -122.33577524599997)",321.8789884
4568,FAUNTLEROY WAY SW,0.07922293,,,"In Street, Major Separation",0,NA,CITYWIDE,10386,478,,,"(47.56225703100006, -122.38009272099998)",418.2970854
4569,NE 65TH ST,0.05582352,,,"In Street, Minor Separation",0,NA,LOCAL,17279,869,,,"(47.67577535500004, -122.29959575299995)",294.7481764
4570,W MCGRAW ST,0.06262674,,,"In Street, Minor Separation",0,NA,LOCAL,23553,850,,,"(47.63959740700005, -122.36093079899996)",330.6691694
4571,10TH AVE W,0.05876162,,,"In Street, Major Separation",0,NA,CITYWIDE,1354,108,,,"(47.63146210000008, -122.37041000999994)",310.2613433
4572,5TH AVE S,0.11900883,,,"In Street, Minor Separation",0,NA,LOCAL,7361,327,,,"(47.59751669800005, -122.32767519699996)",628.3662262
4573,8TH AVE S,0.05587265,,,"In Street, Minor Separation",0,NA,LOCAL,8468,338,,,"(47.52306615300006, -122.32297221599998)",295.0075907
4574,DEXTER AVE N,0.041318,12/31/1980 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,10092,0,,,"(47.64032507300004, -122.34439622999997)",218.1590571
4575,S WILLOW ST,0.08407441,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,21555,0,,,"(47.540674583000055, -122.28260251299997)",443.9129077
4576,SW WEBSTER ST,0.05228682,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,22967,0,,,"(47.535494398000026, -122.35390094999997)",276.0744225
4577,15TH AVE S,0.12483088,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,2159,0,,,"(47.56350387900005, -122.31351131799994)",659.107059
4578,17TH AVE SW,0.12376097,12/31/2015 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,2508,819,,,"(47.526494383000056, -122.35642002999998)",653.457922
4579,NE PRINCETON WAY,0.06774522,,,"In Street, Minor Separation",0,NA,LOCAL,18055,872,,,"(47.674863704000074, -122.27481708199997)",356.8618122
4580,S MOUNT BAKER EB BV,0.03545217,,,"In Street, Minor Separation",0,NA,LOCAL,20891,755,,,"(47.57674765000007, -122.28982195499998)",186.8692334
4581,SW BRACE POINT DR,0.03204445,,,"In Street, Minor Separation",0,NA,LOCAL,21866,394,,,"(47.521162512000046, -122.38747584199996)",169.1946715
4582,3RD AVE NW,0.05022257,,,"In Street, Major Separation",0,NA,LOCAL,4487,264,,,"(47.70148713400005, -122.36073528099996)",265.1751457
4583,35TH AVE NE,0.12499538,,,"In Street, Minor Separation",0,NA,LOCAL,5355,246,,,"(47.66851165500003, -122.29019267799998)",659.975595
4584,48TH AVE SW,0.13212687,,,"In Street, Minor Separation",0,NA,LOCAL,7154,295,,,"(47.55219046800005, -122.39370005999996)",697.627398
4585,HARVARD AVE E,0.08976525,,,"In Street, Minor Separation",0,NA,LOCAL,10857,501,,,"(47.64319040000004, -122.32209227199996)",473.9605162
4586,MERIDIAN AVE N,0.12533032,,,"In Street, Minor Separation",0,NA,LOCAL,11828,567,,,"(47.71047711400007, -122.33402473999996)",661.7440719
4587,WOODLAND PL N,0.0684538,,,"In Street, Minor Separation",0,NA,LOCAL,13640,471,,,"(47.67244599900005, -122.34983966899995)",361.1438842
4588,NE 75TH ST,0.049328,,,"In Street, Minor Separation",0,NA,LOCAL,17510,369,,,"(47.68308626400005, -122.31527968799998)",260.451839
4589,M L KING JR WR WAY S,0.05961375,,,"In Street, Major Separation",0,NA,CITYWIDE,11542,550,,,"(47.55786202200005, -122.29158887299997)",314.7605753
4590,SEWARD PARK AVE S,0.08125789,,,"In Street, Minor Separation",0,NA,LOCAL,12814,783,,,"(47.52446828700005, -122.26463356399995)",429.0416298
4591,14TH AVE S,0.05872104,,,"In Street, Minor Separation",0,NA,LOCAL,1958,146,,,"(47.524742024000034, -122.31493922199996)",310.0470929
4592,55TH AVE SW,0.07140813,,,"In Street, Minor Separation",0,NA,LOCAL,7727,313,,,"(47.57038557300007, -122.40282360699996)",377.0349261
4593,9TH AVE SW,0.12492256,,,"In Street, Minor Separation",0,NA,LOCAL,8618,506,,,"(47.53193571700007, -122.34677855599995)",659.5911282
4594,RAINIER AVE S,0.11826593,,,"In Street, Major Separation",0,NA,CITYWIDE,12362,693,,,"(47.58276298900006, -122.30151810599995)",624.4440973
4595,SEWARD PARK AVE S,0.12533122,,,"In Street, Minor Separation",0,NA,LOCAL,12799,781,,,"(47.54426392500005, -122.26414708199997)",661.7488459
4596,NE 75TH ST,0.0560008,,,"In Street, Minor Separation",0,NA,LOCAL,17537,645,,,"(47.68304473100005, -122.28635819899995)",295.6842034
4597,NE 65TH ST,0.04926177,,,"In Street, Minor Separation",0,NA,LOCAL,17278,869,,,"(47.67577422100004, -122.30065154799996)",260.1021605
4598,48TH AVE SW,0.10665473,,,"In Street, Minor Separation",0,NA,LOCAL,7160,295,,,"(47.54198661800007, -122.39519950899995)",563.1369736
4599,AIRPORT WAY S,0.04480901,,,"In Street, Major Separation",0,NA,CITYWIDE,8689,357,,,"(47.55384766100008, -122.32160240599995)",236.5915493
4600,ALASKAN WAY,0.05860951,,,"In Street, Major Separation",0,NA,CITYWIDE,8733,361,,,"(47.61443342600006, -122.35402457699996)",309.4581885
4601,GLENN WAY SW,0.14012942,,,"In Street, Minor Separation",0,NA,LOCAL,10658,493,,,"(47.562948584000026, -122.38948158399995)",739.8617107
4602,SW ROXBURY ST,0.06298946,,,"In Street, Major Separation",0,NA,CITYWIDE,22763,829,,,"(47.51736130100005, -122.35651080599996)",332.5843674
4603,M L KING JR WR WAY S,0.04765291,,,"In Street, Major Separation",0,NA,CITYWIDE,11535,552,,,"(47.564439306000054, -122.29577719199995)",251.607374
4604,MERIDIAN AVE N,0.05139793,,,"In Street, Minor Separation",0,NA,LOCAL,11797,568,,,"(47.66429174600006, -122.33372506099994)",271.381062
4605,LAKE WASHINGTON BLVD S,0.18504157,,,"In Street, Minor Separation",0,NA,LOCAL,11229,528,,,"(47.58555072300004, -122.28751468099995)",976.7375962
4606,48TH AVE SW,0.06598007,,,"In Street, Minor Separation",0,NA,LOCAL,7157,295,,,"(47.546771912000054, -122.39387186099998)",348.3747891
4607,SW ADMIRAL WAY,0.08011549,,,"In Street, Minor Separation",0,NA,LOCAL,21708,794,,,"(47.58121353300004, -122.39190278899997)",423.009448
4608,6TH AVE W,0.1269082,,,"In Street, Minor Separation",0,NA,LOCAL,8040,333,,,"(47.63775912800003, -122.36497395499998)",670.0753211
4609,S ORCAS ST,0.14567763,,,"In Street, Minor Separation",0,NA,LOCAL,20995,760,,,"(47.55118995200007, -122.28077878999994)",769.1778685
4610,PIKE ST,0.06091727,,,"In Street, Major Separation",0,NA,CITYWIDE,12207,441,,,"(47.613465820000044, -122.32891310199994)",321.643168
4611,15TH AVE NE,0.04388689,,,"In Street, Major Separation",0,NA,CITYWIDE,2029,138,,,"(47.65534016000004, -122.31214879099997)",231.7227626
4612,NE 65TH ST,0.02132515,,,"In Street, Minor Separation",0,NA,LOCAL,17304,872,,,"(47.675786885000036, -122.27891083599997)",112.5968037
4613,7TH AVE W,0.02707291,,,"In Street, Minor Separation",0,NA,LOCAL,8261,333,,,"(47.642722863000074, -122.36624417599995)",142.9449649
4614,S CLOVERDALE ST,0.18703526,,,"In Street, Minor Separation",0,NA,LOCAL,19645,717,,,"(47.526947558000074, -122.33209478599997)",987.5410589
4615,NE 65TH ST,0.04931055,,,"In Street, Minor Separation",0,NA,LOCAL,17282,869,,,"(47.67577817200004, -122.29643184199995)",260.3597082
4616,M L KING JR WR WAY S,0.05555324,,,"In Street, Major Separation",0,NA,CITYWIDE,486163,549,,,"(47.54396882000003, -122.28461870099994)",293.3211317
4617,7TH AVE W,0.04356055,,,"In Street, Minor Separation",0,NA,LOCAL,8259,333,,,"(47.64141538600006, -122.36626284699997)",229.9996958
4618,WINONA AVE N,0.06249664,,,"In Street, Minor Separation",0,NA,LOCAL,13626,860,,,"(47.68354554700005, -122.342714694)",329.982284
4619,S ORCAS ST,0.00820948,,,"In Street, Minor Separation",0,NA,LOCAL,485859,761,,,"(47.551230271000065, -122.28809573499996)",43.31288154
4620,5TH AVE NE,0.05129364,,,"In Street, Major Separation",0,NA,CITYWIDE,7339,321,,,"(47.72311933700007, -122.32356466599998)",270.8304033
4621,ALASKAN WAY,0.05737169,,,"In Street, Major Separation",0,NA,CITYWIDE,8721,362,,,"(47.60448768400005, -122.33909095699994)",302.9225398
4622,SAND POINT WAY NE,0.06862668,,,"In Street, Minor Separation",0,NA,LOCAL,12718,777,,,"(47.67212114900008, -122.26810834899999)",362.3488909
4623,NW MARKET ST,0.01597263,,,"In Street, Major Separation",0,NA,LOCAL,19219,325,,,"(47.66864925100003, -122.36293904599995)",84.33550607
4624,SW WILDWOOD PL,0.05424413,,,"In Street, Minor Separation",0,NA,LOCAL,22994,394,,,"(47.52154455400006, -122.39206198599999)",286.4090324
4625,15TH AVE NE,0.03409739,,,"In Street, Minor Separation",0,NA,LOCAL,2083,141,,,"(47.713978508000025, -122.31249461699997)",180.0299146
4626,NW 100TH ST,0.06239792,,,"In Street, Minor Separation",0,NA,LOCAL,18124,142,,,"(47.701524938000034, -122.37007607499999)",329.4610193
4627,SW GENESEE ST,0.03143008,,,"In Street, Minor Separation",0,NA,LOCAL,22222,809,,,"(47.564824970000075, -122.39885717399994)",165.9508052
4628,32ND AVE W,0.12505765,,,"In Street, Major Separation",0,NA,CITYWIDE,157138,231,,,"(47.64500928500007, -122.398279162)",660.3043435
4629,8TH AVE SW,0.12660326,,,"In Street, Minor Separation",0,NA,LOCAL,8476,502,,,"(47.52096837300007, -122.34544221899995)",668.4652351
4630,BROOKLYN AVE NE,0.12496864,,,"In Street, Minor Separation",0,NA,LOCAL,9483,388,,,"(47.663099646000035, -122.31423801699998)",659.8344136
4631,SW HENDERSON ST,0.04984913,,,"In Street, Minor Separation",0,NA,LOCAL,22294,812,,,"(47.522837312000036, -122.35062163499998)",263.2034053
4632,EAST MARGINAL WAY S,0.10441447,,,"In Street, Major Separation",0,NA,CITYWIDE,14408,463,,,"(47.54488142400004, -122.33130604799999)",551.3082372
4633,S SPOKANE ST,0.04153013,,,"In Street, Minor Separation",0,NA,LOCAL,21286,771,,,"(47.57162901700008, -122.31340770399999)",219.2790625
4634,5TH AVE N,0.08070561,,,"In Street, Major Separation",0,NA,CITYWIDE,7250,319,,,"(47.61857115500004, -122.34762113899995)",426.1256376
4635,EASTLAKE AVE E,0.07169417,,,"In Street, Major Separation",0,NA,CITYWIDE,10173,467,,,"(47.63486592400005, -122.325215905)",378.544969
4636,REPUBLICAN ST,0.07316377,,,"In Street, Minor Separation",0,NA,LOCAL,12564,700,,,"(47.62319936600005, -122.33583805699999)",386.3046891
4637,WINONA AVE N,0.09302757,,,"In Street, Minor Separation",0,NA,LOCAL,13627,860,,,"(47.68403156000005, -122.34158479099995)",491.185578
4638,NE 65TH ST,0.0131519,,,"In Street, Minor Separation",0,NA,LOCAL,17285,869,,,"(47.67578000300006, -122.29432001699996)",69.44204637
4639,S WALKER ST,0.10232583,,,"In Street, Minor Separation",0,NA,LOCAL,21460,191,,,"(47.58364724000006, -122.30033375699998)",540.2796691
4640,SW ROXBURY ST,0.06295706,,,"In Street, Major Separation",0,NA,CITYWIDE,22771,829,,,"(47.51736356500004, -122.36456732099998)",332.4132993
4641,2ND AV ET S,0.07360847,,,"In Street, Major Separation",0,NA,CITYWIDE,2925,215,,,"(47.59999131500007, -122.33034244699996)",388.6527473
4642,59TH ER AVE SW,0.02790728,,,"In Street, Minor Separation",0,NA,LOCAL,7863,315,,,"(47.57543053300003, -122.40803455399998)",147.3404701
4643,MILITARY RD S,0.026412,,,"In Street, Minor Separation",0,NA,LOCAL,11865,573,,,"(47.53483669900004, -122.29483631199997)",139.4140172
4644,40TH AVE NE,0.12856265,,,"In Street, Minor Separation",0,NA,LOCAL,6310,271,,,"(47.663027174000035, -122.28477360299996)",678.7883461
4645,14TH AVE NW,0.05044745,,,"In Street, Minor Separation",0,NA,LOCAL,1887,128,,,"(47.66293151900004, -122.37359465299994)",266.3625335
4646,GREENWOOD AVE N,0.01871501,,,Neighborhood Greenway,0,NA,LOCAL,10721,390,,,"(47.668431181000074, -122.35538452599997)",98.81523262
4647,UNION ST,0.06097149,,,"In Street, Major Separation",0,NA,CITYWIDE,13181,401,,,"(47.60875622400005, -122.33688460299999)",321.9294901
4648,ALTON AVE NE,0.06495153,,,Neighborhood Greenway,0,NA,LOCAL,8827,272,,,"(47.70648090900005, -122.28180084499996)",342.9440906
4649,M L KING JR WR WAY S,0.11070259,,,"In Street, Major Separation",0,NA,CITYWIDE,11539,551,,,"(47.560821436000026, -122.29351188699997)",584.5037142
4650,M L KING JR WR WAY S,0.24675669,,,"In Street, Major Separation",0,NA,CITYWIDE,11575,544,,,"(47.51706721900007, -122.27941941399996)",1302.815264
4651,S EDMUNDS ST,0.01986986,,,Neighborhood Greenway,0,NA,CITYWIDE,19920,723,,,"(47.55867406500005, -122.29191463299998)",104.897333
4652,SW ROXBURY ST,0.06298921,,,"In Street, Major Separation",0,NA,CITYWIDE,22762,829,,,"(47.51736038100006, -122.35516490199996)",332.5830349
4653,W MCGRAW ST,0.06040595,,,"In Street, Major Separation",0,NA,CITYWIDE,23570,849,,,"(47.63955745700008, -122.39833708799995)",318.943415
4654,AIRPORT WAY S,0.02033748,,,"In Street, Major Separation",0,NA,CITYWIDE,8660,355,,,"(47.58585379500005, -122.32139319099997)",107.3818823
4655,LETITIA AVE S,0.09426903,,,Neighborhood Greenway,0,NA,CITYWIDE,11381,239,,,"(47.56413211300003, -122.28936679699996)",497.6223289
4656,SAND POINT WAY NE,0.03414489,,,"In Street, Minor Separation",0,NA,LOCAL,12731,775,,,"(47.694020038000076, -122.27449704799994)",180.2199661
4657,NE 80TH ST,0.05022591,,,"In Street, Minor Separation",0,NA,LOCAL,17619,650,,,"(47.68667570800005, -122.31000118199995)",265.1928108
4658,14TH AVE NW,0.05038573,,,"In Street, Minor Separation",0,NA,LOCAL,1888,128,,,"(47.66366174800004, -122.37359386799994)",266.0366672
4659,15TH AVE NE,0.12756396,,,"In Street, Minor Separation",0,NA,LOCAL,2053,139,,,"(47.679408135000074, -122.31200369099997)",673.0816131
4660,LAKE WASHINGTON BLVD,0.04636183,,,"In Street, Minor Separation",0,NA,LOCAL,11197,518,,,"(47.61149102400003, -122.28250735899996)",244.790451
4661,M L KING JR WR WAY S,0.07862487,,,"In Street, Major Separation",0,NA,CITYWIDE,11536,551,,,"(47.562827524000056, -122.29475722699999)",415.1367373
4662,SW HOLDEN ST,0.12534603,,,"In Street, Minor Separation",0,NA,LOCAL,22389,817,,,"(47.53363612100003, -122.38465785499994)",661.8270495
4663,E GALER ST,0.03086251,,,"In Street, Minor Separation",0,NA,LOCAL,14023,428,,,"(47.632323453000026, -122.31055454599999)",162.9540559
4664,NE 40TH ST,0.09220322,,,"In Street, Minor Separation",0,NA,LOCAL,16732,592,,,"(47.65551733600006, -122.32269173799995)",486.7932847
4665,S MCCLELLAN ST,0.04744253,,,"In Street, Minor Separation",0,NA,LOCAL,20808,867,,,"(47.57835107900007, -122.30332510499994)",250.4965698
4666,S ORCAS ST,0.02075275,,,"In Street, Minor Separation",0,NA,LOCAL,20989,762,,,"(47.55112603400005, -122.28931465699998)",109.5744954
4667,SW ANDOVER ST,0.06177201,,,Neighborhood Greenway,0,NA,LOCAL,21765,798,,,"(47.568368656000075, -122.38148650999995)",326.1562065
4668,SW MYRTLE ST,0.03151511,,,Neighborhood Greenway,0,NA,LOCAL,22613,230,,,"(47.53919577400006, -122.37119439199995)",166.3997762
4669,W GALER ST,0.02455769,,,Neighborhood Greenway,0,NA,CITYWIDE,23340,270,,,"(47.632322206000026, -122.36049765499996)",129.664616
4670,6TH AVE NW,0.04999997,,,Neighborhood Greenway,0,NA,LOCAL,7957,330,,,"(47.68766154100007, -122.36332479199996)",263.9998679
4671,DELRIDGE WAY SW,0.12499976,,,"In Street, Major Separation",0,NA,CITYWIDE,9969,409,,,"(47.55191777300007, -122.36298783999996)",659.9987097
4672,E MADISON ST,0.04825537,,,"In Street, Minor Separation",0,NA,LOCAL,14373,436,,,"(47.63168184300008, -122.28407924499999)",254.7853617
4673,NE 65TH ST,0.02993792,,,"In Street, Major Separation",0,NA,CITYWIDE,17260,638,,,"(47.67584614500004, -122.31934286899997)",158.0722033
4674,W MCGRAW ST,0.06252639,,,"In Street, Minor Separation",0,NA,LOCAL,23555,850,,,"(47.63959653400008, -122.36361100099998)",330.1393608
4675,33RD AVE W,0.01354355,,,Neighborhood Greenway,0,NA,CITYWIDE,340311,237,,,"(47.66445137000005, -122.39955783599999)",71.50994432
4676,31ST AVE NE,0.08811532,,,Neighborhood Greenway,0,NA,LOCAL,4798,224,,,"(47.68738975700006, -122.29495694199994)",465.2488863
4677,34TH AVE NE,0.12611204,,,Neighborhood Greenway,0,NA,LOCAL,5222,228,,,"(47.67032251200004, -122.29143179099998)",665.8715771
4678,39TH AVE S,0.04948195,,,Neighborhood Greenway,0,NA,LOCAL,6032,262,,,"(47.546021256000074, -122.28334109699995)",261.2646987
4679,45TH AVE SW,0.0703752,,,Neighborhood Greenway,0,NA,LOCAL,6842,814,,,"(47.58401820300003, -122.38913539099997)",371.5810543
4680,48TH AVE SW,0.13175801,,,Neighborhood Greenway,0,NA,LOCAL,7150,296,,,"(47.55755993000008, -122.39360290399998)",695.6823006
4681,ASHWORTH AVE N,0.15935285,,,Neighborhood Greenway,0,NA,LOCAL,8865,367,,,"(47.670196969000074, -122.33903088099999)",841.2578175
4682,S MAIN ST,0.05755588,,,Neighborhood Greenway,0,NA,CITYWIDE,20752,865,,,"(47.600271803000055, -122.29501359599999)",303.8950686
4683,11TH AVE NW,0.0452844,,,Neighborhood Greenway,0,NA,LOCAL,1431,112,,,"(47.66438706000008, -122.37076546199995)",239.1016477
4684,32ND AVE W,0.29729773,,,Neighborhood Greenway,0,NA,CITYWIDE,5075,234,,,"(47.63292678300007, -122.39892769699998)",1569.732003
4685,LAKE WASHINGTON BLVD S,0.11619224,,,"In Street, Minor Separation",0,NA,LOCAL,11233,524,,,"(47.570135479000044, -122.27955243999997)",613.3811774
4686,SEWARD PARK AVE S,0.12280536,,,"In Street, Minor Separation",0,NA,LOCAL,12808,782,,,"(47.531588561000035, -122.266380433)",648.3881319
4687,N 56TH ST,0.0634533,,,"In Street, Minor Separation",0,NA,LOCAL,15705,601,,,"(47.66867984800007, -122.33298873599995)",335.0334225
4688,NE 100TH ST,0.05303063,,,"In Street, Major Separation",0,NA,CITYWIDE,16147,324,,,"(47.701333067000064, -122.32426428599996)",280.0017091
4689,NE 50TH ST,0.06050699,,,Neighborhood Greenway,0,NA,LOCAL,16953,274,,,"(47.664888036000036, -122.28478832099995)",319.4768932
4690,NW 70TH ST,0.02850846,,,Neighborhood Greenway,0,NA,LOCAL,18713,670,,,"(47.67954606400008, -122.36982675799999)",150.5246436
4691,NW 83RD ST,0.06350982,,,Neighborhood Greenway,0,NA,CITYWIDE,18936,608,,,"(47.688732747000074, -122.37409855799996)",335.3318598
4692,SW ANDOVER ST,0.04921136,,,"In Street, Minor Separation",0,NA,LOCAL,21752,797,,,"(47.56835029600006, -122.36117777599998)",259.8359828
4693,SW JUNEAU ST,0.06290362,,,Neighborhood Greenway,0,NA,LOCAL,22466,821,,,"(47.55014223000006, -122.376337966)",332.1310183
4694,14TH AVE NW,0.05040898,,,"In Street, Minor Separation",0,NA,LOCAL,1891,128,,,"(47.66570139100003, -122.37359167999995)",266.1593984
4695,25TH AVE E,0.04898671,,,Neighborhood Greenway,0,NA,CITYWIDE,3717,199,,,"(47.642440512000064, -122.30032365399995)",258.649837
4696,LAKESIDE AVE S,0.09522739,,,"In Street, Minor Separation",0,NA,LOCAL,11261,531,,,"(47.597913636000044, -122.28689891899995)",502.8006268
4697,N 63RD ST,0.10703644,,,Neighborhood Greenway,0,NA,LOCAL,15773,603,,,"(47.67445340800003, -122.33316357299998)",565.1523933
4698,E DENNY WAY,0.06097419,,,Neighborhood Greenway,0,NA,CITYWIDE,13960,424,,,"(47.61851685400006, -122.31144347099996)",321.943729
4699,NE 65TH ST,0.02217345,,,"In Street, Minor Separation",0,NA,LOCAL,17290,869,,,"(47.67578223800007, -122.29162826699996)",117.0758246
4700,SW GRAHAM ST,0.0640222,,,Neighborhood Greenway,0,NA,LOCAL,22240,810,,,"(47.54655523400004, -122.37909922999995)",338.0372379
4701,SW THISTLE ST,0.05975684,,,Neighborhood Greenway,0,NA,LOCAL,22876,832,,,"(47.52830878100008, -122.34802966999996)",315.5161235
4702,35TH AVE SW,0.05094079,,,"In Street, Major Separation",0,NA,CITYWIDE,5473,248,,,"(47.53117692100005, -122.37663393799994)",268.9673699
4703,E DENNY WAY,0.05861807,,,"In Street, Minor Separation",0,NA,LOCAL,13976,425,,,"(47.61837081600004, -122.28991312399995)",309.4672318
4704,N 40TH ST,0.05085608,,,"In Street, Minor Separation",0,NA,LOCAL,15414,591,,,"(47.65538676700004, -122.34465320199996)",268.5200983
4705,NE 55TH ST,0.05306062,,,Neighborhood Greenway,0,NA,LOCAL,17037,635,,,"(47.668535543000075, -122.30827052199999)",280.1600612
4706,NE 68TH ST,0.0499344,,,Neighborhood Greenway,0,NA,CITYWIDE,17352,641,,,"(47.67759945700004, -122.29032501599994)",263.6536531
4707,7TH AVE S,0.05868,,,"In Street, Minor Separation",0,NA,LOCAL,8238,338,,,"(47.525623480000036, -122.32560094699994)",309.8303862
4708,AIRPORT WAY S,0.26644071,,,"In Street, Major Separation",0,NA,CITYWIDE,8703,360,,,"(47.51365306800005, -122.28813826099997)",1406.766367
4709,N 80TH ST,0.00764862,,,"In Street, Minor Separation",0,NA,LOCAL,15899,411,,,"(47.68692080100004, -122.33790767599999)",40.38471299
4710,NE 75TH ST,0.06676854,,,"In Street, Minor Separation",0,NA,LOCAL,17549,645,,,"(47.68303005800004, -122.27313195099998)",352.537884
4711,20TH AVE NE,0.12535216,,,"In Street, Minor Separation",0,NA,LOCAL,2977,168,,,"(47.68667484400004, -122.30676914199995)",661.8593884
4712,32ND AVE W,0.04315508,,,"In Street, Major Separation",0,NA,CITYWIDE,5081,231,,,"(47.64053008600007, -122.39832010699996)",227.8588102
4713,7TH AVE,0.06627849,,,"In Street, Major Separation",0,NA,CITYWIDE,8160,335,,,"(47.613595528000076, -122.33517270299996)",349.9504211
4714,7TH AVE S,0.05871027,,,"In Street, Minor Separation",0,NA,LOCAL,8237,338,,,"(47.52647326400006, -122.32558706499998)",309.9902409
4715,BATTERY ST,0.06100352,,,"In Street, Minor Separation",0,NA,LOCAL,9073,340,,,"(47.614144096000075, -122.34781319599995)",322.0985697
4716,M L KING JR WR WAY S,0.1308581,,,"In Street, Major Separation",0,NA,CITYWIDE,11559,548,,,"(47.54068414200003, -122.28304829299998)",690.9303407
4717,NW 100TH ST,0.06244656,,,"In Street, Minor Separation",0,NA,LOCAL,18126,142,,,"(47.70153217300003, -122.37275226399998)",329.7178273
4718,MCGILVRA WR BLVD E,0.09066658,,,"In Street, Minor Separation",0,NA,LOCAL,336413,563,,,"(47.62575616200007, -122.28384805599995)",477.7920595
4719,15TH AVE NW,0.09544533,,,"In Street, Minor Separation",0,NA,LOCAL,2123,142,,,"(47.69468841400004, -122.37679836299998)",503.9513368
4720,AIRPORT WAY S,0.05832051,,,"In Street, Major Separation",0,NA,CITYWIDE,8670,356,,,"(47.57773863500006, -122.32140061999996)",307.9322853
4721,WILSON AVE S,0.18639041,,,"In Street, Minor Separation",0,NA,LOCAL,13618,863,,,"(47.54970343200006, -122.26429819399999)",983.7358339
4722,N 56TH ST,0.10507574,,,"In Street, Minor Separation",0,NA,LOCAL,15707,601,,,"(47.669381593000026, -122.33050939699996)",554.7999128
4723,6TH AVE S,0.04738424,,,"In Street, Major Separation",0,NA,CITYWIDE,7999,882,,,"(47.57438399700004, -122.32598014899997)",250.1887957
4724,8TH AVE NE,0.0627322,,,Neighborhood Greenway,0,NA,LOCAL,8354,342,,,"(47.703122105000034, -122.32044672599994)",331.2260095
4725,ALASKAN WAY,0.08014465,,,"In Street, Major Separation",0,NA,CITYWIDE,8729,361,,,"(47.610762485000066, -122.34760884299999)",423.1637428
4726,LAKESIDE AVE S,0.08078998,,,"In Street, Minor Separation",0,NA,LOCAL,11272,528,,,"(47.587640994000026, -122.28627220899995)",426.5711176
4727,LOYAL WAY NW,0.07996173,,,"In Street, Minor Separation",0,NA,LOCAL,11467,540,,,"(47.687614978000056, -122.39438701399996)",422.197909
4728,WATERS AVE S,0.04368252,,,"In Street, Minor Separation",0,NA,LOCAL,13465,858,,,"(47.518925179000064, -122.26110946999995)",230.6437302
4729,N 36TH ST,0.05589783,,,Neighborhood Greenway,0,NA,LOCAL,15336,588,,,"(47.65050156700005, -122.33632368899998)",295.1405544
4730,NE 65TH ST,0.05528469,,,"In Street, Minor Separation",0,NA,LOCAL,17312,872,,,"(47.67575961700004, -122.27156366799994)",291.9031554
4731,E MADISON ST,0.04374398,,,"In Street, Minor Separation",0,NA,LOCAL,14374,436,,,"(47.632173916000056, -122.28334585799996)",230.9682316
4732,N 39TH ST,0.04767328,,,"In Street, Minor Separation",0,NA,LOCAL,15378,265,,,"(47.65415337600007, -122.35548709599999)",251.7148955
4733,NE 65TH ST,0.05681743,,,"In Street, Major Separation",0,NA,CITYWIDE,17264,639,,,"(47.675803951000034, -122.31434884699996)",299.9959999
4734,NE 65TH ST,0.04577092,,,"In Street, Minor Separation",0,NA,LOCAL,17281,869,,,"(47.67577728100008, -122.29741281999998)",241.6704561
4735,NE 65TH ST,0.03102246,,,"In Street, Minor Separation",0,NA,LOCAL,17314,872,,,"(47.67575234700007, -122.26956486099999)",163.7986083
4736,NE 75TH ST,0.02008058,,,"In Street, Minor Separation",0,NA,LOCAL,17539,645,,,"(47.68304191400006, -122.28414459099997)",106.0254503
4737,SW BARTON ST,0.08674965,,,"In Street, Minor Separation",0,NA,LOCAL,21859,801,,,"(47.521581465000054, -122.38488957499999)",457.9247992
4738,WATERS AVE S,0.02735155,,,"In Street, Minor Separation",0,NA,LOCAL,13471,859,,,"(47.51607740000003, -122.25741777999997)",144.4162028
